,Performer,Song,Tag,Type
457,Britney Spears,Womanizer,Girls Night Out,Hits
458,Britney Spears,Womanizer,Partying,Hits
459,Britney Spears,Womanizer,Breakup,Hits
460,Britney Spears,Womanizer,Sex,Hits
461,Katy Perry,Waking Up In Vegas,Empowering,Hits
462,Katy Perry,Waking Up In Vegas,Girls Night Out,Hits
463,Katy Perry,Waking Up In Vegas,Mischievous,Hits
464,Katy Perry,Waking Up In Vegas,Partying,Hits
465,Katy Perry,Waking Up In Vegas,TGIF,Hits
466,P!nk,What About Us,Motivation,Hits
467,P!nk,What About Us,Politics/Society,Hits
468,P!nk,What About Us,Protest,Hits
469,Adam Lambert,Whataya Want From Me,Reflection,Hits
470,Adam Lambert,Whataya Want From Me,Late Night,Hits
471,Jason Derulo,Whatcha Say,Club,Hits
472,Jason Derulo,Whatcha Say,TGIF,Hits
473,Zac Brown Band,Whatever It Is,Affection/Fondness,Hits
474,Zac Brown Band,Whatever It Is,Day Driving,Hits
475,Usher,There Goes My Baby,In Love,Hits
476,Usher,There Goes My Baby,Seduction,Hits
477,New Boyz Featuring Ray J,Tie Me Down,Cool & Cocky,Hits
478,New Boyz Featuring Ray J,Tie Me Down,Mischievous,Hits
479,New Boyz Featuring Ray J,Tie Me Down,Playful,Hits
480,New Boyz Featuring Ray J,Tie Me Down,Summer,Hits
