_id	artists	audio_features.acousticness	audio_features.analysis_url	audio_features.danceability	audio_features.duration_ms	audio_features.energy	audio_features.id	audio_features.instrumentalness	audio_features.key	audio_features.liveness	audio_features.loudness	audio_features.mode	audio_features.speechiness	audio_features.tempo	audio_features.time_signature	audio_features.track_href	audio_features.type	audio_features.uri	audio_features.valence	name	tags	type	class
5def6aa254d79fcf0de3eca1	The Black Eyed Peas	0.0873	https://api.spotify.com/v1/audio-analysis/4vp2J1l5RD4gMZwGFLfRAu	0.743	289133	0.766	4vp2J1l5RD4gMZwGFLfRAu	0	0	0.509	-6.375	1	0.0265	127.96	4	https://api.spotify.com/v1/tracks/4vp2J1l5RD4gMZwGFLfRAu	audio_features	spotify:track:4vp2J1l5RD4gMZwGFLfRAu	0.61	I Gotta Feeling	"['Partying', 'TGIF', 'Club', 'Girls Night Out', 'Sex']"	Hit	Love
5def6aa254d79fcf0de3eca3	Lady Antebellum	0.446	https://api.spotify.com/v1/audio-analysis/2nRvKHh2mtOfIQ4jcAkP9q	0.593	218840	0.639	2nRvKHh2mtOfIQ4jcAkP9q	0	1	0.0998	-5.826	1	0.0307	142.881	4	https://api.spotify.com/v1/tracks/2nRvKHh2mtOfIQ4jcAkP9q	audio_features	spotify:track:2nRvKHh2mtOfIQ4jcAkP9q	0.332	Just A Kiss	"['In Love', 'New Love', 'Slow Dance']"	Hit	Love
5def6aa254d79fcf0de3eca6	Monica	0.479	https://api.spotify.com/v1/audio-analysis/4ZOkuIDN8wRczzu1XUYC4y	0.308	196960	0.529	4ZOkuIDN8wRczzu1XUYC4y	0	7	0.441	-5.319	0	0.0874	80.794	4	https://api.spotify.com/v1/tracks/4ZOkuIDN8wRczzu1XUYC4y	audio_features	spotify:track:4ZOkuIDN8wRczzu1XUYC4y	0.485	Everything To Me	"['Affection/Fondness', 'In Love']"	Non-hit	Love
5def6aa254d79fcf0de3ecb6	Taio Cruz Featuring Ludacris	0.00155	https://api.spotify.com/v1/audio-analysis/1CdqVF1ywD0ZO1zXtB9yWa	0.666	186267	0.899	1CdqVF1ywD0ZO1zXtB9yWa	0	8	0.0677	-4.676	1	0.028	122.05	4	https://api.spotify.com/v1/tracks/1CdqVF1ywD0ZO1zXtB9yWa	audio_features	spotify:track:1CdqVF1ywD0ZO1zXtB9yWa	0.629	Break Your Heart	"['Day Driving', 'Seduction', 'Breakup', 'Heartache', 'Heartbreak']"	Hit	Breakup
5def6aa254d79fcf0de3ecb7	Taylor Swift	0.166	https://api.spotify.com/v1/audio-analysis/1ubvV5ECkm6nSI6g1HmbBK	0.589	403920	0.47	1ubvV5ECkm6nSI6g1HmbBK	0.00000145	4	0.112	-5.32	1	0.028	119.386	3	https://api.spotify.com/v1/tracks/1ubvV5ECkm6nSI6g1HmbBK	audio_features	spotify:track:1ubvV5ECkm6nSI6g1HmbBK	0.102	Dear John	['Breakup']	Non-hit	Breakup
5def6aa254d79fcf0de3ecbc	Charice Featuring Iyaz	0.268	https://api.spotify.com/v1/audio-analysis/7Bs3eQv2Z0ZQaAWaBK9N1X	0.562	235947	0.659	7Bs3eQv2Z0ZQaAWaBK9N1X	0	10	0.133	-5.234	1	0.0824	87.539	4	https://api.spotify.com/v1/tracks/7Bs3eQv2Z0ZQaAWaBK9N1X	audio_features	spotify:track:7Bs3eQv2Z0ZQaAWaBK9N1X	0.241	Pyramid	"['In Love', 'Romantic Evening', 'Victory']"	Non-hit	Love
5def6aa254d79fcf0de3ecbe	Sia	0.254	https://api.spotify.com/v1/audio-analysis/25R5Tdr4K7ENb6umHzdCXn	0.508	263520	0.762	25R5Tdr4K7ENb6umHzdCXn	0.000122	6	0.108	-4.217	0	0.0489	99.963	4	https://api.spotify.com/v1/tracks/25R5Tdr4K7ENb6umHzdCXn	audio_features	spotify:track:25R5Tdr4K7ENb6umHzdCXn	0.444	Alive	"['Affection/Fondness', 'Cool & Cocky', 'In Love', 'New Love', 'Sex']"	Non-hit	Love
5def6aa254d79fcf0de3ecbf	Beyonce	0.381	https://api.spotify.com/v1/audio-analysis/1pzJboOZaDNwshBnOlNh3a	0.303	273880	0.384	1pzJboOZaDNwshBnOlNh3a	0.00000514	6	0.0661	-7.342	1	0.0339	63.345	5	https://api.spotify.com/v1/tracks/1pzJboOZaDNwshBnOlNh3a	audio_features	spotify:track:1pzJboOZaDNwshBnOlNh3a	0.261	1+1	"['In Love', 'Passion', 'Seduction']"	Non-hit	Love
5def6aa254d79fcf0de3ecc3	Beyonce	0.143	https://api.spotify.com/v1/audio-analysis/3lBRNqXjPp2j3JMTCXDTNO	0.545	253747	0.649	3lBRNqXjPp2j3JMTCXDTNO	0.0000157	6	0.0894	-4.062	1	0.0324	99.099	4	https://api.spotify.com/v1/tracks/3lBRNqXjPp2j3JMTCXDTNO	audio_features	spotify:track:3lBRNqXjPp2j3JMTCXDTNO	0.297	Best Thing I Never Had	"['New Love', 'Reflection', 'Wedding']"	Hit	Love
5def6aa254d79fcf0de3ecc5	Miranda Lambert	0.238	https://api.spotify.com/v1/audio-analysis/6vMiU1tMnWXkWlmMWjX6ZN	0.556	208867	0.393	6vMiU1tMnWXkWlmMWjX6ZN	0	11	0.0979	-6.589	1	0.025	132.746	4	https://api.spotify.com/v1/tracks/6vMiU1tMnWXkWlmMWjX6ZN	audio_features	spotify:track:6vMiU1tMnWXkWlmMWjX6ZN	0.213	More Like Her	"['Breakup', 'Feeling Blue', 'Heartache', 'Jealousy', 'Regret']"	Non-hit	Breakup
5def6aa254d79fcf0de3ecc6	George Strait	0.00983	https://api.spotify.com/v1/audio-analysis/39CTW8V40QAdFdWxdpUu3r	0.699	191063	0.548	39CTW8V40QAdFdWxdpUu3r	0.00000662	9	0.0955	-8.893	1	0.0301	115.963	4	https://api.spotify.com/v1/tracks/39CTW8V40QAdFdWxdpUu3r	audio_features	spotify:track:39CTW8V40QAdFdWxdpUu3r	0.6	I Gotta Get To You	"['In Love', 'Relaxation', 'Romantic Evening']"	Non-hit	Love
5def6aa254d79fcf0de3eccb	Lifehouse	0.000449	https://api.spotify.com/v1/audio-analysis/7AsqUKKbPMxOFNIbRLBxHt	0.543	195307	0.919	7AsqUKKbPMxOFNIbRLBxHt	0	1	0.243	-4.831	0	0.0415	125.022	4	https://api.spotify.com/v1/tracks/7AsqUKKbPMxOFNIbRLBxHt	audio_features	spotify:track:7AsqUKKbPMxOFNIbRLBxHt	0.498	Halfway Gone	"['Breakup', 'Day Driving', 'Freedom', 'Hanging Out', 'Solitude']"	Non-hit	Breakup
5def6aa254d79fcf0de3eccc	Luis Fonsi & Daddy Yankee Featuring Justin Bieber	0.228	https://api.spotify.com/v1/audio-analysis/6rPO02ozF3bM7NnOV4h6s2	0.653	228827	0.816	6rPO02ozF3bM7NnOV4h6s2	0	2	0.0967	-4.353	1	0.167	178.086	4	https://api.spotify.com/v1/tracks/6rPO02ozF3bM7NnOV4h6s2	audio_features	spotify:track:6rPO02ozF3bM7NnOV4h6s2	0.816	Despacito	"['In Love', 'Passion', 'Seduction']"	Hit	Love
5def6aa254d79fcf0de3ecd0	Maxwell	0.252	https://api.spotify.com/v1/audio-analysis/22NLm3IIR9NLG0cUYtmHMW	0.563	310520	0.402	22NLm3IIR9NLG0cUYtmHMW	0.00000207	9	0.0886	-10.496	1	0.0668	115.561	4	https://api.spotify.com/v1/tracks/22NLm3IIR9NLG0cUYtmHMW	audio_features	spotify:track:22NLm3IIR9NLG0cUYtmHMW	0.2	Pretty Wings	"['Heartache', 'Introspection', 'Regret', 'Romantic Evening', 'Comfort', 'Feeling Blue', 'Late Night', 'Breakup']"	Hit	Breakup
5def6aa254d79fcf0de3ecd2	Jazmine Sullivan	0.538	https://api.spotify.com/v1/audio-analysis/56z2qI0gKcPthQF6l8AW3E	0.683	266307	0.664	56z2qI0gKcPthQF6l8AW3E	0	5	0.0671	-4.233	0	0.0332	106.991	4	https://api.spotify.com/v1/tracks/56z2qI0gKcPthQF6l8AW3E	audio_features	spotify:track:56z2qI0gKcPthQF6l8AW3E	0.866	Bust Your Windows	"['Breakup', 'Feeling Blue', 'Heartache', 'Jealousy', 'Solitude', 'Regret']"	Non-hit	Breakup
5def6aa254d79fcf0de3ecd4	Keith Urban	0.19	https://api.spotify.com/v1/audio-analysis/21zOTXChnP7ghgn3fVKuSF	0.621	228187	0.888	21zOTXChnP7ghgn3fVKuSF	0.000017	8	0.151	-6.199	1	0.0443	102.986	4	https://api.spotify.com/v1/tracks/21zOTXChnP7ghgn3fVKuSF	audio_features	spotify:track:21zOTXChnP7ghgn3fVKuSF	0.651	Sweet Thing	"['Affection/Fondness', 'New Love', 'Relaxation']"	Non-hit	Love
5def6aa254d79fcf0de3ecd7	Paramore	0.00155	https://api.spotify.com/v1/audio-analysis/5rrJOeJ2SMhtQjIPD8kmLr	0.277	264205	0.949	5rrJOeJ2SMhtQjIPD8kmLr	0.000112	10	0.765	-4.072	0	0.0919	164.102	4	https://api.spotify.com/v1/tracks/5rrJOeJ2SMhtQjIPD8kmLr	audio_features	spotify:track:5rrJOeJ2SMhtQjIPD8kmLr	0.232	Decode	['Breakup']	Non-hit	Breakup
5def6aa254d79fcf0de3ecda	Clay Walker	0.00643	https://api.spotify.com/v1/audio-analysis/0158TMiGmHyibaDeaUKayX	0.635	209253	0.758	0158TMiGmHyibaDeaUKayX	0	7	0.229	-5.772	1	0.0243	113.002	4	https://api.spotify.com/v1/tracks/0158TMiGmHyibaDeaUKayX	audio_features	spotify:track:0158TMiGmHyibaDeaUKayX	0.322	She Won't Be Lonely Long	"['Affection/Fondness', 'In Love']"	Non-hit	Love
5def6aa254d79fcf0de3ecdc	Carrie Underwood Featuring Randy Travis	0.643	https://api.spotify.com/v1/audio-analysis/3ZK8icmaq8PMW686smPDVL	0.423	257893	0.522	3ZK8icmaq8PMW686smPDVL	0	8	0.122	-3.849	1	0.029	147.745	4	https://api.spotify.com/v1/tracks/3ZK8icmaq8PMW686smPDVL	audio_features	spotify:track:3ZK8icmaq8PMW686smPDVL	0.236	I Told You So	"['Breakup', 'Heartache', 'Regret']"	Non-hit	Breakup
